ZIP,fips,cnip_2020_12,laborforce_2020_12,employed_2020_12,unemployment_percent_2020_12,,,SUMIF,ZipCode,sumifcnip,sumiflabor,sumifemploy,sumif/countifunemp,avgifunemppct,,,MAPZIPS,ZipCode,mapcnip,maplabor,mapemploy,mapunemppct
10458,3.60E+10,5638.7,3126.7,2426.4,22.40%,,,SUMIF,11249,38051.7,25290.7,23457.8,7.53%,7.53%,,,,,,,,
10458,3.60E+10,4301.2,2055.2,1597.4,22.28%,,,SUMIF,11354,82587.3,35878.4,32415.4,9.45%,9.45%,,,,,,,,
10458,3.60E+10,3290.3,1451.7,1141.7,21.35%,,,SUMIF,11355,93968.5,39596.6,35821.8,9.59%,9.59%,,,,,,,,
10458,3.60E+10,5616.2,3031.8,2401.4,20.79%,,,SUMIF,11358,59002.4,28237.6,25696.3,8.99%,8.99%,,,,,,,,
10458,3.60E+10,3663.3,1369.3,1085,20.76%,,,SUMIF,11360,19361.4,9150.9,8436.9,7.97%,7.97%,,,,,,,,
10458,3.60E+10,3697.2,2208,1777.5,19.50%,,,SUMIF,11361,44297.5,22719.3,20741.6,8.66%,8.66%,,,,,,,,
10458,3.60E+10,3923.1,2153.1,1733.4,19.49%,,,SUMIF,11364,45856.1,23532.6,21528.8,8.47%,8.47%,,,,,,,,
10458,3.60E+10,3210.8,1904.4,1539.8,19.15%,,,SUMIF,11372,113978.4,63494,57433.4,9.79%,9.79%,,,,,,,,
10458,3.60E+10,4116.2,2364,1931.7,18.29%,,,SUMIF,11373,114336.9,62513.3,56314.7,9.99%,9.99%,,,,,,,,
10458,3.60E+10,4843.7,3117.9,2553,18.12%,,,SUMIF,11374,60408,32522.2,29963.1,8.21%,8.21%,,,,,,,,
10458,3.60E+10,3342.8,1809.4,1488.9,17.71%,,,SUMIF,11375,79046,44759.9,41646.4,7.18%,7.18%,,,,,,,,
10458,3.60E+10,3086.3,1729,1439.1,16.77%,,,SUMIF,11377,115464.4,65165.5,59225.5,10.94%,10.94%,,,,,,,,
10458,3.60E+10,4866.9,3176.3,2697.5,15.07%,,,SUMIF,11379,41977.6,23314.4,21069.3,10.56%,10.56%,,,,,,,,
10458,3.60E+10,74.2,34.9,29.9,14.33%,,,SUMIF,11385,100185,61722.9,55547.7,9.78%,9.78%,,,,,,,,
10458,3.60E+10,6357,4401.9,3827.5,13.05%,,,SUMIF,11432,67514.4,34306.2,29592.1,13.53%,13.53%,,,,,,,,
10458,3.60E+10,5380.9,3107.8,2729.9,12.16%,,,SUMIF,11435,70998.7,41063.7,34364.4,16.68%,16.68%,,,,,,,,
11360,3.61E+10,2696,1507,1368,9.22%,,,SUMIF,11542,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,
