fips,name
14000US36047020700,"Census Tract 207, Kings, NY"
14000US36047020800,"Census Tract 208, Kings, NY"
14000US36047021000,"Census Tract 210, Kings, NY"
14000US36047021100,"Census Tract 211, Kings, NY"
14000US36047021200,"Census Tract 212, Kings, NY"
14000US36047021300,"Census Tract 213, Kings, NY"
14000US36047021400,"Census Tract 214, Kings, NY"
14000US36047021500,"Census Tract 215, Kings, NY"
14000US36047021600,"Census Tract 216, Kings, NY"
14000US36047021700,"Census Tract 217, Kings, NY"
14000US36047021800,"Census Tract 218, Kings, NY"
14000US36047021900,"Census Tract 219, Kings, NY"
14000US36047022000,"Census Tract 220, Kings, NY"
14000US36047022100,"Census Tract 221, Kings, NY"
14000US36047022200,"Census Tract 222, Kings, NY"
14000US36047022400,"Census Tract 224, Kings, NY"
14000US36047022600,"Census Tract 226, Kings, NY"
14000US36047022700,"Census Tract 227, Kings, NY"
14000US36047022800,"Census Tract 228, Kings, NY"
14000US36047022900,"Census Tract 229, Kings, NY"
14000US36047023000,"Census Tract 230, Kings, NY"
14000US36047023100,"Census Tract 231, Kings, NY"
14000US36047023200,"Census Tract 232, Kings, NY"
14000US36047023300,"Census Tract 233, Kings, NY"
14000US36047023400,"Census Tract 234, Kings, NY"
14000US36047023500,"Census Tract 235, Kings, NY"
14000US36047023600,"Census Tract 236, Kings, NY"
14000US36047023800,"Census Tract 238, Kings, NY"
14000US36047024000,"Census Tract 240, Kings, NY"
14000US36047024100,"Census Tract 241, Kings, NY"
14000US36047024200,"Census Tract 242, Kings, NY"
14000US36047024300,"Census Tract 243, Kings, NY"
14000US36047024400,"Census Tract 244, Kings, NY"
14000US36047024500,"Census Tract 245, Kings, NY"
14000US36047024600,"Census Tract 246, Kings, NY"
14000US36047024700,"Census Tract 247, Kings, NY"
