fips,cnip_2020_12,laborforce_2020_12,employed_2020_12,unemployment_percent_2020_12,ZIP
36061013600,14334.5,9628.4,9279.3,3.63,10075
36005006400,2797.6,1269.7,1091.0,14.07,10472
36061016400,6482.5,3148.1,2657.1,15.6,10029
36005007600,4196.6,2327.7,1960.2,15.79,10472
36061009800,6975.6,4766.1,4597.1,3.55,10017
36061009800,6975.6,4766.1,4597.1,3.55,10022
36047002100,4046.7,3320.8,3129.0,5.78,11201
36047053500,2047.2,893.4,829.1,7.2,11211
36047027700,3901.4,2169.0,1806.4,16.72,11221
36081061800,1568.1,886.2,801.7,9.54,11413
36081061800,1568.1,886.2,801.7,9.54,11422
36081012602,2263.3,1294.0,1136.2,12.19,11418
36081099701,2696.0,1507.0,1368.0,9.22,11357
36081099701,2696.0,1507.0,1368.0,9.22,11358
36081099701,2696.0,1507.0,1368.0,9.22,11360
36005038100,5086.8,3067.8,2512.1,18.11,10457
36047037000,3679.7,1639.9,1521.5,7.22,11235
36047083000,5018.8,2673.3,2420.1,9.47,11203
36047083000,5018.8,2673.3,2420.1,9.47,11210
36047083000,5018.8,2673.3,2420.1,9.47,11226
36047074800,1348.9,678.9,634.6,6.53,11210
36047102400,1907.8,1132.0,1008.2,10.94,11236
36047093600,1530.2,723.6,668.0,7.68,11203
36047093600,1530.2,723.6,668.0,7.68,11236
36081109700,1507.4,845.8,794.7,6.04,11361
36081007700,1617.4,1249.4,1162.9,6.92,11106
36081133900,1080.7,502.6,455.7,9.33,11366
36081099100,6089.1,2810.6,2597.5,7.58,11357
36081080900,6289.7,2989.9,2766.3,7.48,11367
36005031000,4422.9,1736.3,1606.4,7.48,10469
36005006800,2539.1,1429.3,1215.3,14.97,10472
36005022901,4043.4,2265.9,1886.4,16.75,10457
36047042100,3419.4,2196.7,1860.7,15.3,11221
36047042100,3419.4,2196.7,1860.7,15.3,11237
36047014500,3455.6,2512.2,2339.2,6.89,11215
36047014500,3455.6,2512.2,2339.2,6.89,11232
36047055300,2756.1,2185.9,2066.0,5.49,11211
36047055300,2756.1,2185.9,2066.0,5.49,11249
36047094401,3517.8,1826.3,1521.0,16.72,11203
36047094401,3517.8,1826.3,1521.0,16.72,11234
36047094401,3517.8,1826.3,1521.0,16.72,11236
36081061200,1795.6,1118.5,1018.2,8.97,11411
36081103202,5318.9,3041.9,2736.2,10.05,11559
